status,error,matrix,group,input_path,n,nnz_L,strict_lower_nnz,multi_pred_rows,multi_pred_ratio,level_count,critical_path_len,strict_chain_coverage,strict_chain_ge8_coverage,strict_chain_ge16_coverage,max_strict_chain_len,bw1_region_count,bw1_row_coverage,bw1_ge8_row_coverage,bw1_ge16_row_coverage,bw1_avg_region_len,bw1_max_region_len,bw1_avg_level_span,bw1_max_level_span,bw1_critical_path_coverage,bw1_external_nnz_per_row,bw1_internal_nnz_per_row,bw2_region_count,bw2_row_coverage,bw2_ge8_row_coverage,bw2_ge16_row_coverage,bw2_avg_region_len,bw2_max_region_len,bw2_avg_level_span,bw2_max_level_span,bw2_critical_path_coverage,bw2_external_nnz_per_row,bw2_internal_nnz_per_row,bw4_region_count,bw4_row_coverage,bw4_ge8_row_coverage,bw4_ge16_row_coverage,bw4_avg_region_len,bw4_max_region_len,bw4_avg_level_span,bw4_max_level_span,bw4_critical_path_coverage,bw4_external_nnz_per_row,bw4_internal_nnz_per_row,bw8_region_count,bw8_row_coverage,bw8_ge8_row_coverage,bw8_ge16_row_coverage,bw8_avg_region_len,bw8_max_region_len,bw8_avg_level_span,bw8_max_level_span,bw8_critical_path_coverage,bw8_external_nnz_per_row,bw8_internal_nnz_per_row
ok,,thermal1,SPD,/home/scan_SpTRSV/data/factors/spcg/thermal1/spcg_spilu_l_thermal1_fill10_drop0.0001_sp0.mtx,82654,2833034,2750380,64883,0.7849952815350739,10962,10962,0.04936240230357877,0.0,0.0,5,28617,0.9999879013719845,0.09971689210443535,0.04155878723352772,2.888248244050739,364,2518.3020931614074,10962,0.14960773581463235,32.90964635282446,0.3611726132142814,18546,1.0,0.19985723618941612,0.06875650301255838,4.456702253855279,569,3440.915345627089,10962,0.3667214012041598,32.561448931691146,0.7143755898081158,10097,1.0,0.5448375154257508,0.1674813076197159,8.18599584034862,977,4694.353075170843,10962,0.8018609742747673,31.883853171050404,1.3919713504488591,4737,1.0,1.0,0.5909937813052,17.448596157905847,746,5633.414819506016,10962,1.0,30.76292738403465,2.5128971374646114
ok,,apache1,SPD,/home/scan_SpTRSV/data/factors/spcg/apache1/spcg_spilu_l_apache1_fill10_drop0.0001_sp0.mtx,80800,2715740,2634940,77374,0.9575990099009901,4235,4235,0.012896039603960395,0.00150990099009901,0.00150990099009901,101,29757,1.0,0.23457920792079207,0.2035767326732673,2.715327485969688,903,12.597741707833451,4235,0.22739079102715468,32.08472772277228,0.5259158415841584,12506,1.0,0.5424381188118812,0.5163242574257426,6.460898768591076,901,26.06580841196226,4235,1.0,31.455309405940593,1.1553341584158416,5475,1.0,0.690210396039604,0.6890841584158416,14.757990867579908,898,54.871598173515984,4235,1.0,30.859529702970296,1.7511138613861386,684,1.0,1.0,0.9996658415841584,118.12865497076024,892,388.2485380116959,4235,1.0,29.4855198019802,3.1251237623762376
ok,,bcsstk10,SPD,/home/scan_SpTRSV/data/factors/spcg/bcsstk10/spcg_spilu_l_bcsstk10_fill10_drop0.0001_sp0.mtx,1086,20771,19685,1078,0.992633517495396,654,654,0.007366482504604052,0.0,0.0,6,431,0.9990791896869244,0.0,0.0,2.5174013921113687,4,57.932714617169374,222,0.0,17.729032258064517,0.39815668202764976,219,0.9990791896869244,0.0,0.0,4.954337899543379,5,111.04109589041096,222,0.0,17.332718894009215,0.7944700460829494,162,1.0,0.016574585635359115,0.016574585635359115,6.703703703703703,18,115.04938271604938,223,0.01834862385321101,16.773480662983424,1.352670349907919,108,1.0,1.0,0.016574585635359115,10.055555555555555,18,117.01851851851852,224,1.0,16.03314917127072,2.093001841620626
ok,,bcsstk13,SPD,/home/scan_SpTRSV/data/factors/spcg/bcsstk13/spcg_spilu_l_bcsstk13_fill10_drop0.0001_sp0.mtx,2003,293368,291365,1978,0.9875187219171243,1933,1933,0.011982026959560658,0.0,0.0,2,970,1.0,0.004992511233150275,0.0,2.0649484536082476,10,11.230927835051546,1864,0.0020693222969477496,144.96904643035447,0.4952571143285072,647,1.0,0.0044932601098352475,0.0,3.0958268933539412,9,16.80834621329212,1864,0.0015519917227108122,144.48427358961558,0.9800299550673989,388,1.0,0.01797304043934099,0.0,5.162371134020619,11,28.00515463917526,1865,0.013450594930160372,143.5212181727409,1.9430853719420869,214,1.0,0.9970044932601099,0.0,9.35981308411215,15,50.61682242990654,1864,0.9968960165545784,141.6310534198702,3.833250124812781
ok,,bcsstk15,SPD,/home/scan_SpTRSV/data/factors/spcg/bcsstk15/spcg_spilu_l_bcsstk15_fill10_drop0.0001_sp0.mtx,3948,506883,502935,3908,0.9898682877406282,3625,3625,0.002026342451874367,0.0,0.0,3,1894,0.9997467071935157,0.0,0.0,2.083949313621964,6,20.109292502639917,3392,0.0,126.93311375728402,0.4816316189511021,1246,1.0,0.0022796352583586625,0.0,3.168539325842697,9,30.502407704654896,3392,0.0016551724137931034,126.42046605876394,0.9693515704154002,742,0.9997467071935157,0.05623100303951368,0.004052684903748734,5.319407008086253,16,36.41239892183288,3392,0.035586206896551724,125.50443374714973,1.9103116290853812,410,1.0,0.9984802431610942,0.029381965552178316,9.629268292682926,23,68.9219512195122,3397,0.9983448275862069,123.67173252279635,3.7180851063829787
ok,,bcsstk16,SPD,/home/scan_SpTRSV/data/factors/spcg/bcsstk16/spcg_spilu_l_bcsstk16_fill10_drop0.0001_sp0.mtx,4884,598894,594010,4808,0.9844389844389845,4791,4791,0.0004095004095004095,0.0,0.0,2,2402,1.0,0.0,0.0,2.0333055786844296,6,75.70358034970857,4791,0.0,121.13124488124488,0.49242424242424243,1602,1.0,0.003276003276003276,0.0,3.048689138576779,8,77.68039950062422,4791,0.0016697975370486328,120.63923013923014,0.9844389844389845,962,1.0,0.025184275184275184,0.0,5.076923076923077,11,84.55301455301455,4791,0.01628052598622417,119.65642915642916,1.9672399672399672,533,1.0,0.9993857493857494,0.019041769041769043,9.163227016885553,22,89.6829268292683,4791,0.9995825506157379,117.68161343161343,3.942055692055692
ok,,bcsstk17,SPD,/home/scan_SpTRSV/data/factors/spcg/bcsstk17/spcg_spilu_l_bcsstk17_fill10_drop0.0001_sp0.mtx,10974,1224167,1213193,10358,0.9438673227628941,6612,6612,0.007381082558775287,0.0,0.0,3,4916,0.9999088755239658,0.011117186076180062,0.0015491160925824676,2.232099267697315,17,55.006509357200976,6097,0.002571082879612825,110.09359336553358,0.45930921352410464,3177,1.0,0.09950792782941498,0.0039183524694733005,3.4542020774315394,24,63.7204910292729,6096,0.057622504537205084,109.62948788044469,0.9220885729907053,1930,1.0,0.18926553672316385,0.027701840714415893,5.686010362694301,58,99.01554404145078,6097,0.1220508166969147,108.75414616365956,1.7974302897758339,1016,1.0,0.9996355020958629,0.19045015491160927,10.801181102362206,107,141.34448818897638,6096,0.999395039322444,106.99726626571898,3.5543101877164207
ok,,bcsstk18,SPD,/home/scan_SpTRSV/data/factors/spcg/bcsstk18/spcg_spilu_l_bcsstk18_fill10_drop0.0001_sp0.mtx,11948,730685,718737,9064,0.7586206896551724,4692,4692,0.12002008704385671,0.0,0.0,5,3748,1.0,0.18597254770672916,0.06796116504854369,3.1878335112059766,40,582.3647278548559,4692,0.08312020460358056,59.81143287579511,0.3439906260462002,2375,1.0,0.3394710411784399,0.10955808503515232,5.030736842105263,50,753.5667368421052,4692,0.1860613810741688,59.46233679276867,0.6930867090726481,1388,1.0,0.5788416471375962,0.27803816538332776,8.60806916426513,113,963.6347262247839,4692,0.4162404092071611,58.89445932373619,1.2609641781051222,720,1.0,1.0,0.5677100770003348,16.594444444444445,125,1362.6861111111111,4692,1.0,57.83963843321058,2.315785068630733
ok,,cfd1,CFD,/home/scan_SpTRSV/data/factors/spcg/cfd1/spcg_spilu_l_cfd1_fill10_drop0.0001_permccolamd_sp0.mtx,70656,8911370,8840714,68977,0.9762369791666666,7183,7183,0.019347259963768116,0.008378623188405798,0.004741281702898551,25,31387,0.9999858469202898,0.021781589673913044,0.012327332427536232,2.25109121610858,69,63.46856979004046,6990,0.030210218571627454,124.63718066661949,0.4870568254192909,20944,1.0,0.037321671195652176,0.018568840579710144,3.3735676088617264,94,93.2646103896104,6990,0.0652930530419045,124.1817821557971,0.9415477807971014,11763,0.9999858469202898,0.2441689311594203,0.03399569746376811,6.0065459491626285,95,150.760095213806,6990,0.5578449115968258,123.27613049324181,1.8481069987969712,6577,1.0,0.9999575407608695,0.13285495923913043,10.742891896001217,112,261.1327352896457,6995,1.0,121.57244961503623,3.550880321557971
ok,,cfd2,CFD,/home/scan_SpTRSV/data/factors/spcg/cfd2/spcg_spilu_l_cfd2_fill10_drop0.0001_permccolamd_sp0.mtx,123440,15093462,14970022,121031,0.9804844458846403,5288,5288,0.01599157485418017,0.006667206740116656,0.003920933246921581,21,54243,1.0,0.02042287751134154,0.011211924821775762,2.2756853418874323,105,69.4594141179507,5164,0.1021180030257186,120.78626863253402,0.48740278677900195,36309,1.0,0.037200259235255995,0.01602397926117952,3.3997080613621966,116,99.44181883279627,5164,0.18532526475037822,120.33656837329877,0.937103046014258,20213,1.0,0.2682355800388853,0.0371597537265068,6.106960866768911,131,157.34453074753873,5164,0.8710287443267776,119.42113577446533,1.8525356448476993,11375,1.0,0.999951393389501,0.14394847699287103,10.851868131868132,142,255.82821978021977,5192,0.9988653555219364,117.71790343486714,3.5557679844458847
