status,error,matrix,group,input_path,w,n,nnz_L,strict_lower_nnz,critical_path_len,region_count,covered_rows,covered_row_ratio,ge8_covered_rows,ge8_covered_ratio,ge16_covered_rows,ge16_covered_ratio,baseline_max_abs_error,baseline_residual,region_seq_max_abs_error,region_affine_max_abs_error,region_scan_sim_max_abs_error,region_scan_sim_max_rel_error,correctness_pass,external_unresolved_count,external_nnz_total,internal_nnz_total,external_nnz_per_covered_row,internal_nnz_per_covered_row,avg_region_len,max_region_len,avg_level_span,max_level_span,avg_width,max_width,inspector_build_ms,baseline_cpu_ms,region_seq_replay_ms,region_affine_ms,scan_sim_ms,inspector_reuse_assumed,amortized_apply_ms,baseline_est_ops,external_reduction_est_ops,affine_transition_est_ops,scan_compose_est_ops,metadata_est_bytes,x_read_est_bytes,x_write_est_bytes,estimated_parallel_depth,estimated_work_over_baseline,estimated_depth_reduction,estimated_profit_score,verdict
ok,,thermal1,SPD,/home/scan_SpTRSV/data/factors/spcg/thermal1/spcg_spilu_l_thermal1_fill10_drop0.0001_sp0.mtx,2,82654,2833034,2750380,10962,1304,16519,0.19985723618941612,16519,0.19985723618941612,5683,0.06875650301255838,1.3877787807814457e-15,2.037961148172145e-17,3.9968028886505635e-15,3.9968028886505635e-15,3.9968028886505635e-15,5.690292309966755e-13,true,0,281804,7969,17.059386161389913,0.4824141897209274,12.667944785276074,569,7585.621165644172,10962,1.0347478660935892,2,164.97531504137442,445.76161401346326,488.35631198016927,504.9248829600401,527.6861879974604,true,504.9248829600401,2833034.0,281804.0,32457.0,730320.0,4798796.0,21939288.0,661232.0,72435.0,1.2606001198714876,0.12363587969124301,-0.23589059466254858,marginal
ok,,thermal1,SPD,/home/scan_SpTRSV/data/factors/spcg/thermal1/spcg_spilu_l_thermal1_fill10_drop0.0001_sp0.mtx,4,82654,2833034,2750380,10962,3596,45033,0.5448375154257508,45033,0.5448375154257508,13843,0.1674813076197159,1.3877787807814457e-15,2.037961148172145e-17,7.993605777301127e-15,7.993605777301127e-15,7.993605777301127e-15,5.572506386735038e-11,true,0,1619451,55356,35.96142828592365,1.2292318966091533,12.523081201334817,977,6336.308398220244,10962,2.2040281571292164,4,727.1167840226553,446.67031499557197,335.065669962205,376.14663201384246,446.4678939548321,true,376.14663201384246,2833034.0,1619451.0,155745.0,13259840.0,29464548.0,21560192.0,661232.0,55270.0,5.699977479973767,0.33130882957872576,-4.519468000427481,not-support
ok,,thermal1,SPD,/home/scan_SpTRSV/data/factors/spcg/thermal1/spcg_spilu_l_thermal1_fill10_drop0.0001_sp0.mtx,8,82654,2833034,2750380,10962,4737,82654,1.0,82654,1.0,48848,0.5909937813052,1.3877787807814457e-15,2.037961148172145e-17,8.43769498715119e-15,7.993605777301127e-15,8.43769498715119e-15,9.751886176786317e-11,true,0,2542679,207701,30.76292738403465,2.5128971374646114,17.448596157905847,746,5633.414819506016,10962,4.274941321654125,8,1265.1757569983602,447.37816497217864,205.1864790264517,274.12171399919316,421.0821529850364,true,274.12171399919316,2833034.0,2542679.0,498056.0,179520768.0,87225584.0,20341432.0,661232.0,25669.0,64.44027957306548,0.6894403174679992,-62.750839255597484,not-support
ok,,apache1,SPD,/home/scan_SpTRSV/data/factors/spcg/apache1/spcg_spilu_l_apache1_fill10_drop0.0001_sp0.mtx,2,80800,2715740,2634940,4235,676,43829,0.5424381188118812,43829,0.5424381188118812,41719,0.5163242574257426,8.881784197001252e-16,2.5235905428762806e-17,3.9968028886505635e-15,3.774758283725532e-15,3.774758283725532e-15,1.3116606920288144e-11,true,0,719086,56766,16.406625750074152,1.2951698647014533,64.83579881656804,901,350.3121301775148,4235,1.4759634032261744,2,437.80163500923663,429.8556780559011,400.61933401739225,435.0432959618047,503.64329596050084,true,435.0432959618047,2715740.0,719086.0,157361.0,2071344.0,12816544.0,20625392.0,646400.0,41529.0,1.7836206706091158,0.4860272277227723,-0.5199809755118214,marginal
ok,,apache1,SPD,/home/scan_SpTRSV/data/factors/spcg/apache1/spcg_spilu_l_apache1_fill10_drop0.0001_sp0.mtx,4,80800,2715740,2634940,4235,506,55769,0.690210396039604,55769,0.690210396039604,55678,0.6890841584158416,8.881784197001252e-16,2.5235905428762806e-17,3.552713678800501e-15,3.774758283725532e-15,3.774758283725532e-15,2.0986571072461033e-11,true,0,933632,91806,16.741056859545626,1.6461833635173664,110.21541501976284,898,485.05731225296444,4235,2.3896609227348526,4,560.966977966018,431.3375069759786,368.59184701461345,413.2313180016354,500.648173969239,true,413.2313180016354,2715740.0,933632.0,239381.0,17684160.0,23905208.0,20345072.0,646400.0,29084.0,7.54553307754056,0.6400495049504951,-6.103764255243726,not-support
ok,,apache1,SPD,/home/scan_SpTRSV/data/factors/spcg/apache1/spcg_spilu_l_apache1_fill10_drop0.0001_sp0.mtx,8,80800,2715740,2634940,4235,684,80800,1.0,80800,1.0,80773,0.9996658415841584,8.881784197001252e-16,2.5235905428762806e-17,3.9968028886505635e-15,3.774758283725532e-15,3.774758283725532e-15,9.505060901515207e-12,true,0,2382430,252510,29.4855198019802,3.1251237623762376,118.12865497076024,892,388.2485380116959,4235,5.811014851485148,8,1256.4809949835762,428.29426302341744,194.52491396805272,270.75485698878765,404.4856589753181,true,270.75485698878765,2715740.0,2382430.0,585820.0,184587264.0,84624080.0,19059440.0,646400.0,5566.0,69.06239698940252,0.9311138613861386,-67.13128312801638,not-support
ok,,bcsstk10,SPD,/home/scan_SpTRSV/data/factors/spcg/bcsstk10/spcg_spilu_l_bcsstk10_fill10_drop0.0001_sp0.mtx,2,1086,20771,19685,654,0,0,0.0,0,0.0,0,0.0,2.55351295663786e-15,2.7664168812346316e-17,0.0,0.0,0.0,0.0,true,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0007799826562404633,3.3845370053313673,4.00937395170331,4.035260993987322,4.057584970723838,true,4.035260993987322,20771.0,0.0,0.0,0.0,0.0,157480.0,8688.0,1086.0,1.0,0.0,0.0,not-support
ok,,bcsstk10,SPD,/home/scan_SpTRSV/data/factors/spcg/bcsstk10/spcg_spilu_l_bcsstk10_fill10_drop0.0001_sp0.mtx,4,1086,20771,19685,654,1,18,0.016574585635359115,18,0.016574585635359115,18,0.016574585635359115,2.55351295663786e-15,2.7664168812346316e-17,1.7763568394002505e-15,0.0,0.0,0.0,true,0,0,31,0.0,1.7222222222222223,18.0,18,12.0,12,3.2777777777777777,4,0.08532899664714932,3.352597006596625,3.9766039699316025,4.012609017081559,4.0600820211693645,true,4.012609017081559,20771.0,0.0,80.0,5440.0,4116.0,157232.0,8688.0,1074.0,1.2633960810745752,0.011049723756906077,-0.26321293648191935,not-support
ok,,bcsstk10,SPD,/home/scan_SpTRSV/data/factors/spcg/bcsstk10/spcg_spilu_l_bcsstk10_fill10_drop0.0001_sp0.mtx,8,1086,20771,19685,654,108,1086,1.0,1086,1.0,18,0.016574585635359115,2.55351295663786e-15,2.7664168812346316e-17,2.886579864025407e-15,2.4424906541753444e-15,3.1086244689504383e-15,2.2725660054581177e-11,true,0,17412,2273,16.03314917127072,2.093001841620626,10.055555555555555,18,117.01851851851852,224,4.089318600368324,8,9.892583009786904,3.351081977598369,1.6128239803947508,2.4709199788048863,4.236156004481018,true,2.4709199788048863,20771.0,17412.0,5632.0,2253312.0,948636.0,139296.0,8688.0,540.0,109.59299022675846,0.5027624309392266,-108.09022779581923,not-support
ok,,bcsstk13,SPD,/home/scan_SpTRSV/data/factors/spcg/bcsstk13/spcg_spilu_l_bcsstk13_fill10_drop0.0001_sp0.mtx,2,2003,293368,291365,1933,1,9,0.0044932601098352475,9,0.0044932601098352475,0,0.0,2.0872192862952943e-13,3.863189746938177e-18,2.842170943040401e-14,2.842170943040401e-14,2.842170943040401e-14,2.4954458257742055e-13,true,0,148,4,16.444444444444443,0.4444444444444444,9.0,9,1681.0,1681,0.8888888888888888,1,0.0901960302144289,44.61456398712471,51.20208504376933,51.169203012250364,51.17116100154817,true,51.169203012250364,293368.0,148.0,17.0,384.0,2544.0,2330888.0,16024.0,1999.0,1.0013225709688856,0.00199700449326011,-0.001313597908256823,not-support
ok,,bcsstk13,SPD,/home/scan_SpTRSV/data/factors/spcg/bcsstk13/spcg_spilu_l_bcsstk13_fill10_drop0.0001_sp0.mtx,4,2003,293368,291365,1933,4,36,0.01797304043934099,36,0.01797304043934099,0,0.0,2.0872192862952943e-13,3.863189746938177e-18,8.704148513061227e-14,9.947598300641403e-14,9.947598300641403e-14,1.148924319127638e-12,true,0,2028,57,56.333333333333336,1.5833333333333333,9.0,11,426.0,1683,3.0,4,0.725672987755388,44.90052303299308,51.58641003072262,51.602657011244446,51.74264498054981,true,51.602657011244446,293368.0,2028.0,150.0,10240.0,32508.0,2330464.0,16024.0,1985.0,1.0350992609964278,0.008986520219670495,-0.0349377459051107,not-support
ok,,bcsstk13,SPD,/home/scan_SpTRSV/data/factors/spcg/bcsstk13/spcg_spilu_l_bcsstk13_fill10_drop0.0001_sp0.mtx,8,2003,293368,291365,1933,213,1997,0.9970044932601099,1997,0.9970044932601099,0,0.0,2.0872192862952943e-13,3.863189746938177e-18,4.3076653355456074e-13,2.6356694604601216e-13,2.8954616482224083e-13,2.9649252641456904e-12,true,0,282728,7663,141.57636454682023,3.8372558838257387,9.375586854460094,15,50.82629107981221,1864,4.85327991987982,8,90.3354290057905,49.461843038443476,21.12565899733454,23.438796983100474,26.793584984261543,true,23.438796983100474,293368.0,282728.0,17323.0,4110336.0,4794724.0,2269616.0,16024.0,1071.0,15.036974039431703,0.4653020469296056,-13.57306580791976,not-support
ok,,bcsstk15,SPD,/home/scan_SpTRSV/data/factors/spcg/bcsstk15/spcg_spilu_l_bcsstk15_fill10_drop0.0001_sp0.mtx,2,3948,506883,502935,3625,1,9,0.0022796352583586625,9,0.0022796352583586625,0,0.0,5.540012892879531e-14,3.035452266277875e-18,2.842170943040401e-14,2.842170943040401e-14,2.842170943040401e-14,5.523941317652569e-13,true,0,393,6,43.666666666666664,0.6666666666666666,9.0,9,475.0,475,1.1111111111111112,2,0.17208297504112124,77.44930003536865,89.23324599163607,88.92567700240761,89.40155297750607,true,88.92567700240761,506883.0,393.0,21.0,384.0,5508.0,4023432.0,31584.0,3944.0,1.000769408324998,0.0010131712259371835,-0.0007670986641486546,not-support
ok,,bcsstk15,SPD,/home/scan_SpTRSV/data/factors/spcg/bcsstk15/spcg_spilu_l_bcsstk15_fill10_drop0.0001_sp0.mtx,4,3948,506883,502935,3625,23,222,0.05623100303951368,222,0.05623100303951368,16,0.004052684903748734,5.540012892879531e-14,3.035452266277875e-18,5.684341886080802e-14,5.684341886080802e-14,5.684341886080802e-14,7.404142530960252e-13,true,0,13971,355,62.932432432432435,1.5990990990990992,9.652173913043478,16,565.8695652173913,2209,2.5675675675675675,4,5.105021002236754,77.40477100014687,88.2182220229879,89.43491597892717,89.16369499638677,true,89.43491597892717,506883.0,13971.0,932.0,63680.0,218088.0,4020640.0,31584.0,3832.0,1.1263309284391072,0.029381965552178316,-0.12467875104483578,not-support
ok,,bcsstk15,SPD,/home/scan_SpTRSV/data/factors/spcg/bcsstk15/spcg_spilu_l_bcsstk15_fill10_drop0.0001_sp0.mtx,8,3948,506883,502935,3625,409,3942,0.9984802431610942,3942,0.9984802431610942,116,0.029381965552178316,5.540012892879531e-14,3.035452266277875e-18,3.6193270602780103e-13,3.852473895449293e-13,3.7059244561987725e-13,2.5756965517608135e-11,true,0,488020,14664,123.80010147133434,3.719939117199391,9.638141809290953,23,69.0757946210269,3397,4.7914764079147645,8,157.87177794845775,77.34325103228912,36.77350498037413,40.638128004502505,48.13928599469364,true,40.638128004502505,506883.0,488020.0,33270.0,8140032.0,8618160.0,3906168.0,31584.0,2057.0,17.087925615970548,0.47897669706180346,-15.60967684701978,not-support
ok,,bcsstk16,SPD,/home/scan_SpTRSV/data/factors/spcg/bcsstk16/spcg_spilu_l_bcsstk16_fill10_drop0.0001_sp0.mtx,2,4884,598894,594010,4791,2,16,0.003276003276003276,16,0.003276003276003276,0,0.0,6.661338147750939e-16,3.023840654339218e-17,7.216449660063518e-16,7.216449660063518e-16,7.216449660063518e-16,3.2824019264750883e-13,true,0,90,10,5.625,0.625,8.0,8,48.0,54,1.1875,2,0.10940100764855742,91.55809303047135,104.42869999678805,104.35178800253198,104.44780497346073,true,104.35178800253198,598894.0,90.0,36.0,672.0,2480.0,4752000.0,39072.0,4876.0,1.001138765791609,0.001638001638001638,-0.0011333996928769056,not-support
ok,,bcsstk16,SPD,/home/scan_SpTRSV/data/factors/spcg/bcsstk16/spcg_spilu_l_bcsstk16_fill10_drop0.0001_sp0.mtx,4,4884,598894,594010,4791,15,123,0.025184275184275184,123,0.025184275184275184,0,0.0,6.661338147750939e-16,3.023840654339218e-17,8.881784197001252e-16,1.1102230246251565e-15,1.1102230246251565e-15,1.4144908498221913e-13,true,0,4376,152,35.577235772357724,1.2357723577235773,8.2,11,2241.266666666667,4785,2.1951219512195124,4,1.7820799839682877,91.68889600550756,105.49251700285822,105.83658202085644,105.81753199221566,true,105.83658202085644,598894.0,4376.0,427.0,34560.0,79920.0,4750864.0,39072.0,4822.0,1.0579601732526958,0.012694512694512694,-0.05764047115166687,not-support
ok,,bcsstk16,SPD,/home/scan_SpTRSV/data/factors/spcg/bcsstk16/spcg_spilu_l_bcsstk16_fill10_drop0.0001_sp0.mtx,8,4884,598894,594010,4791,532,4881,0.9993857493857494,4881,0.9993857493857494,93,0.019041769041769043,6.661338147750939e-16,3.023840654339218e-17,4.884981308350689e-15,4.884981308350689e-15,4.884981308350689e-15,1.0957085468208462e-12,true,0,574577,19252,117.71706617496415,3.944273714402786,9.174812030075188,22,80.84586466165413,4789,4.880967014955952,8,208.71167798759416,91.79971599951386,42.664733016863465,47.24201699718833,56.64322298252955,true,47.24201699718833,598894.0,574577.0,43385.0,10020096.0,10327884.0,4598064.0,39072.0,2667.0,17.76314673381266,0.45393120393120395,-16.3094943574023,not-support
ok,,bcsstk17,SPD,/home/scan_SpTRSV/data/factors/spcg/bcsstk17/spcg_spilu_l_bcsstk17_fill10_drop0.0001_sp0.mtx,2,10974,1224167,1213193,6612,105,1092,0.09950792782941498,1092,0.09950792782941498,43,0.0039183524694733005,2.1316282072803006e-14,1.9244741313103843e-17,1.1102230246251565e-14,1.2878587085651816e-14,1.2878587085651816e-14,7.702786617627687e-12,true,0,29901,646,27.38186813186813,0.5915750915750916,10.4,24,682.1809523809524,6096,1.0531135531135531,2,18.26856896514073,187.40323703968897,210.8407649793662,214.1751559684053,213.9799739816226,true,214.1751559684053,1224167.0,29901.0,2384.0,47376.0,453924.0,9700376.0,87792.0,10405.0,1.039228307902435,0.051849826863495534,-0.034068839072934544,not-support
ok,,bcsstk17,SPD,/home/scan_SpTRSV/data/factors/spcg/bcsstk17/spcg_spilu_l_bcsstk17_fill10_drop0.0001_sp0.mtx,4,10974,1224167,1213193,6612,194,2077,0.18926553672316385,2077,0.18926553672316385,304,0.027701840714415893,2.1316282072803006e-14,1.9244741313103843e-17,1.865174681370263e-14,1.865174681370263e-14,1.8207657603852567e-14,8.08842971853275e-12,true,0,81782,2395,39.37506018295619,1.1531054405392394,10.706185567010309,58,582.5515463917526,6096,2.3115069812229176,4,31.35841101175174,187.92122404556721,206.42840099753812,210.39540000492707,211.24666603282094,true,210.39540000492707,1224167.0,81782.0,6867.0,602560.0,1442140.0,9686384.0,87792.0,9818.0,1.4941768565890112,0.1053398942956078,-0.47423964495679166,marginal
ok,,bcsstk17,SPD,/home/scan_SpTRSV/data/factors/spcg/bcsstk17/spcg_spilu_l_bcsstk17_fill10_drop0.0001_sp0.mtx,8,10974,1224167,1213193,6612,1015,10970,0.9996355020958629,10970,0.9996355020958629,2090,0.19045015491160927,2.1316282072803006e-14,1.9244741313103843e-17,4.04121180963557e-14,5.051514762044462e-14,4.904410211281629e-14,2.1569145916087336e-11,true,0,1173807,38999,107.00154968094805,3.5550592525068367,10.807881773399014,107,141.47980295566504,6096,4.666545123062899,8,426.58102698624134,187.47702200198546,86.20018797228113,96.37083002598956,115.21515203639865,true,96.37083002598956,1224167.0,1173807.0,88968.0,22936320.0,21749992.0,9393552.0,87792.0,5169.0,19.768124773825793,0.5289775833788956,-18.239340001667376,not-support
ok,,bcsstk18,SPD,/home/scan_SpTRSV/data/factors/spcg/bcsstk18/spcg_spilu_l_bcsstk18_fill10_drop0.0001_sp0.mtx,2,11948,730685,718737,4692,324,4056,0.3394710411784399,4056,0.3394710411784399,1309,0.10955808503515232,1.2782136460387505e-13,1.4370362795629462e-18,2.1682655670929307e-13,2.0261570199409107e-13,2.0261570199409107e-13,2.286825734526521e-11,true,0,71677,1720,17.671844181459566,0.4240631163708087,12.518518518518519,50,2148.0,4684,0.9960552268244576,2,33.649227989371866,112.94394999276847,121.77607900230214,124.6384049882181,131.13488699309528,true,124.6384049882181,730685.0,71677.0,7496.0,179136.0,1205244.0,5736136.0,95584.0,9494.0,1.2475156873344875,0.2053900234348845,-0.17779172223138306,marginal
ok,,bcsstk18,SPD,/home/scan_SpTRSV/data/factors/spcg/bcsstk18/spcg_spilu_l_bcsstk18_fill10_drop0.0001_sp0.mtx,4,11948,730685,718737,4692,476,6916,0.5788416471375962,6916,0.5788416471375962,3322,0.27803816538332776,1.2782136460387505e-13,1.4370362795629462e-18,1.7419399256368706e-13,1.8474111129762605e-13,1.8474111129762605e-13,4.157864971866402e-11,true,0,209144,6540,30.2406015037594,0.9456333140543667,14.529411764705882,113,1993.357142857143,4692,1.9924812030075187,4,91.089857975021,113.1960180355236,106.14402598002926,112.67602699808776,123.76137700630352,true,112.67602699808776,730685.0,209144.0,19996.0,2060800.0,4026736.0,5697576.0,95584.0,7494.0,3.829317695039586,0.37278205557415467,-2.613535915967703,not-support
ok,,bcsstk18,SPD,/home/scan_SpTRSV/data/factors/spcg/bcsstk18/spcg_spilu_l_bcsstk18_fill10_drop0.0001_sp0.mtx,8,11948,730685,718737,4692,720,11948,1.0,11948,1.0,6783,0.5677100770003348,1.2782136460387505e-13,1.4370362795629462e-18,3.8308245464691026e-13,3.6864955532678323e-13,3.692046668390958e-13,9.395378304650662e-11,true,0,691068,27669,57.83963843321058,2.315785068630733,16.594444444444445,125,1362.6861111111111,4692,4.091312353531972,8,264.59717797115445,113.04238095181063,52.16204101452604,62.94234696542844,83.09902704786509,true,62.94234696542844,730685.0,691068.0,67286.0,25869312.0,16462732.0,5528544.0,95584.0,3877.0,36.4420591636615,0.6755105456980248,-34.76654861796347,not-support
ok,,cfd1,CFD,/home/scan_SpTRSV/data/factors/spcg/cfd1/spcg_spilu_l_cfd1_fill10_drop0.0001_permccolamd_sp0.mtx,2,70656,8911370,8840714,7183,185,2637,0.037321671195652176,2637,0.037321671195652176,1312,0.018568840579710144,3.397282455352979e-14,2.800534678134406e-17,2.1316282072803006e-14,2.1316282072803006e-14,2.1316282072803006e-14,1.811449877616896e-12,true,0,67859,1985,25.733409177095183,0.7527493363670839,14.254054054054054,94,477.02702702702703,6929,1.092529389457717,2,34.57240201532841,1366.745926963631,1563.8173620100133,1566.6756959981285,1560.304337006528,true,1566.6756959981285,8911370.0,67859.0,6607.0,117696.0,1049088.0,70709832.0,565248.0,68944.0,1.0134301459820432,0.024230072463768116,-0.012525839184503593,not-support
ok,,cfd1,CFD,/home/scan_SpTRSV/data/factors/spcg/cfd1/spcg_spilu_l_cfd1_fill10_drop0.0001_permccolamd_sp0.mtx,4,70656,8911370,8840714,7183,1651,17252,0.2441689311594203,17252,0.2441689311594203,2402,0.03399569746376811,3.397282455352979e-14,2.800534678134406e-17,5.3290705182007514e-14,3.197442310920451e-14,4.263256414560601e-14,5.650309234485104e-12,true,0,1609725,29940,93.30657315093902,1.7354509622072802,10.449424591156875,95,799.8612961841309,6990,2.5165777880825413,4,584.4781589694321,1363.7699540122412,1395.4026590217836,1424.4204520364292,1441.816097998526,true,1424.4204520364292,8911370.0,1609725.0,77132.0,4992320.0,23264396.0,70486192.0,565248.0,61308.0,1.5635788885435125,0.13230298913043478,-0.5312746090983378,marginal
ok,,cfd1,CFD,/home/scan_SpTRSV/data/factors/spcg/cfd1/spcg_spilu_l_cfd1_fill10_drop0.0001_permccolamd_sp0.mtx,8,70656,8911370,8840714,7183,6576,70653,0.9999575407608695,70653,0.9999575407608695,9387,0.13285495923913043,3.397282455352979e-14,2.800534678134406e-17,1.3145040611561853e-13,1.3300471835009375e-13,9.903189379656396e-14,1.1389491105516232e-11,true,0,8589561,250888,121.57390344359051,3.550988634594426,10.744069343065693,112,261.1712287104623,6995,4.6674168117418935,8,3121.897635050118,1366.1068709916435,624.1751579800621,706.7785060498863,825.1862740144134,true,706.7785060498863,8911370.0,8589561.0,572429.0,147633408.0,152433756.0,68718608.0,565248.0,33269.0,17.595012439164798,0.5291411911231884,-16.065893714973978,not-support
ok,,cfd2,CFD,/home/scan_SpTRSV/data/factors/spcg/cfd2/spcg_spilu_l_cfd2_fill10_drop0.0001_permccolamd_sp0.mtx,2,123440,15093462,14970022,5288,350,4592,0.037200259235255995,4592,0.037200259235255995,1978,0.01602397926117952,2073.1032840108887,4.311115564339772e-27,3318.13232421875,3413.620849609375,3413.620849609375,6.174883238194084,true,0,283409,3261,61.71798780487805,0.7101480836236934,13.12,116,818.6914285714286,5164,1.0840592334494774,2,99.76367000490427,2311.603374022525,2626.7093009664677,2637.9996400210075,2641.578909009695,true,2637.9996400210075,15093462.0,283409.0,11114.0,203616.0,3807400.0,119734088.0,987520.0,120550.0,1.0137063981742558,0.023412184057031757,-0.012835458858070676,not-support
ok,,cfd2,CFD,/home/scan_SpTRSV/data/factors/spcg/cfd2/spcg_spilu_l_cfd2_fill10_drop0.0001_permccolamd_sp0.mtx,4,123440,15093462,14970022,5288,3163,33111,0.2682355800388853,33111,0.2682355800388853,4587,0.0371597537265068,2073.1032840108887,4.311115564339772e-27,2875.012939453125,3265.025634765625,5776.3388671875,6.413851680072652,true,0,3912607,58512,118.1663797529522,1.7671468696203678,10.468226367372747,131,790.6364211191907,5164,2.5600555706562775,4,1373.8364760065451,2312.160881992895,2243.0218610097654,2291.2978169624694,2342.112915008329,true,2291.2978169624694,15093462.0,3912607.0,150135.0,9583360.0,54540516.0,119292080.0,987520.0,105567.0,1.638811162077991,0.14479099157485417,-0.5999730664685047,marginal
ok,,cfd2,CFD,/home/scan_SpTRSV/data/factors/spcg/cfd2/spcg_spilu_l_cfd2_fill10_drop0.0001_permccolamd_sp0.mtx,8,123440,15093462,14970022,5288,11374,123434,0.999951393389501,123434,0.999951393389501,17769,0.14394847699287103,2073.1032840108887,4.311115564339772e-27,10111.99169921875,9979.725830078125,8286.38037109375,7.13864730851772,true,0,14530033,438909,117.71499748853638,3.5558193042435633,10.852294707227008,142,255.85018463161597,5192,4.687039227441385,8,5397.958386980463,2316.748376004398,1054.01174898725,1195.912655966822,1401.5057910000905,true,1195.912655966822,15093462.0,14530033.0,1001252.0,258186240.0,260600008.0,116248904.0,987520.0,57595.0,18.134912387893515,0.5334170447180817,-16.601521270769958,not-support
ok,,ex11,CFD,/home/scan_SpTRSV/data/factors/spcg/ex11/spcg_spilu_l_ex11_fill10_drop0.0001_permccolamd_sp0.mtx,2,16614,5452148,5435534,8099,64,927,0.05579631635969664,927,0.05579631635969664,519,0.031238714337305885,7.558076605665967e+34,0.41900032096792705,5.1758345598393796e+33,5.17326745048994e+33,5.17326745048994e+33,9.55897198915948,true,0,88008,816,94.93851132686085,0.8802588996763754,14.484375,35,3928.171875,7972,1.4487594390507013,2,58.880033961031586,829.3270799913444,942.2825359506533,944.7513660416007,944.1435409826227,true,944.7513660416007,5452148.0,88008.0,2559.0,41424.0,1140048.0,43477744.0,132912.0,16016.0,1.007747405242851,0.03599374021909233,-0.0057390871266177895,not-support
